bin_size_pct,max_drop_pct,initial_alloc_pct,exit_sma_window,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
0.12,0.15,0.5,75,0.105,0.646,-0.296,1.0,3,0.184
0.12,0.2,0.1,75,0.105,0.646,-0.296,1.0,3,0.184
0.05,0.15,0.5,30,0.104,0.641,-0.298,1.0,14,0.089
0.05,0.1,0.5,30,0.104,0.641,-0.298,1.0,14,0.089
0.12,0.3,0.4,50,0.104,0.638,-0.216,1.0,5,0.325
0.15,0.3,0.4,75,0.103,0.635,-0.216,1.0,4,0.436
0.07,0.3,0.3,75,0.103,0.632,-0.296,0.929,14,0.204
0.05,0.3,0.2,75,0.102,0.624,-0.296,0.842,19,0.166
0.07,0.2,0.1,75,0.102,0.627,-0.296,0.9,10,0.155
0.15,0.3,0.2,60,0.102,0.627,-0.216,1.0,4,0.455
0.07,0.15,0.1,75,0.102,0.627,-0.296,0.9,10,0.155
0.15,0.3,0.1,50,0.101,0.62,-0.216,1.0,5,0.493
0.15,0.3,0.3,75,0.101,0.618,-0.216,1.0,4,0.436
0.05,0.2,0.2,75,0.101,0.619,-0.296,0.824,17,0.15
0.07,0.15,0.2,75,0.1,0.611,-0.296,0.9,10,0.155
0.07,0.3,0.4,75,0.1,0.608,-0.296,0.923,13,0.201
0.07,0.2,0.2,75,0.1,0.611,-0.296,0.9,10,0.155
0.05,0.15,0.5,75,0.099,0.6,-0.303,0.769,13,0.101
0.15,0.3,0.2,75,0.099,0.6,-0.216,1.0,4,0.436
0.15,0.3,0.1,60,0.099,0.602,-0.216,1.0,4,0.455
0.05,0.1,0.5,75,0.099,0.6,-0.303,0.769,13,0.101
0.07,0.15,0.3,75,0.098,0.596,-0.296,0.9,10,0.155
0.12,0.3,0.3,50,0.098,0.592,-0.216,1.0,5,0.325
0.07,0.2,0.3,75,0.098,0.596,-0.296,0.9,10,0.155
0.12,0.3,0.5,60,0.097,0.591,-0.221,1.0,5,0.296
0.07,0.3,0.5,75,0.097,0.585,-0.296,0.923,13,0.201
0.15,0.3,0.1,75,0.096,0.579,-0.216,1.0,4,0.436
0.07,0.2,0.4,75,0.096,0.58,-0.296,0.9,10,0.155
0.07,0.15,0.4,75,0.096,0.58,-0.296,0.9,10,0.155
0.05,0.2,0.3,75,0.096,0.578,-0.296,0.824,17,0.15
0.05,0.3,0.3,75,0.096,0.582,-0.296,0.842,19,0.166
0.07,0.3,0.5,30,0.095,0.574,-0.296,1.0,13,0.164
0.07,0.15,0.5,75,0.094,0.564,-0.296,0.9,10,0.155
0.07,0.2,0.5,75,0.094,0.564,-0.296,0.9,10,0.155
0.07,0.3,0.4,30,0.093,0.56,-0.296,1.0,13,0.164
0.12,0.3,0.4,60,0.093,0.561,-0.216,1.0,5,0.296
0.05,0.2,0.5,30,0.092,0.549,-0.296,1.0,20,0.133
0.07,0.15,0.5,30,0.092,0.552,-0.296,1.0,10,0.134
0.07,0.2,0.5,30,0.092,0.552,-0.296,1.0,10,0.134
0.05,0.2,0.4,30,0.091,0.547,-0.296,1.0,18,0.12
0.05,0.2,0.3,30,0.091,0.545,-0.296,1.0,18,0.12
0.05,0.3,0.5,30,0.091,0.547,-0.296,1.0,20,0.13
0.05,0.2,0.2,30,0.091,0.542,-0.296,1.0,18,0.12
0.05,0.3,0.3,30,0.091,0.542,-0.296,1.0,20,0.13
0.07,0.3,0.3,30,0.091,0.545,-0.296,1.0,13,0.164
0.05,0.3,0.4,30,0.091,0.545,-0.296,1.0,20,0.13
0.12,0.3,0.2,50,0.091,0.545,-0.216,1.0,5,0.325
0.12,0.3,0.5,75,0.09,0.541,-0.221,1.0,5,0.278
0.05,0.2,0.4,75,0.09,0.537,-0.296,0.842,19,0.168
0.05,0.2,0.1,30,0.09,0.538,-0.296,1.0,18,0.12
0.05,0.3,0.2,30,0.09,0.539,-0.296,1.0,20,0.13
0.05,0.3,0.1,30,0.09,0.535,-0.296,1.0,20,0.13
